# z rho mu P theta
103.671 -1.20171e-07 5.38936e-09 0 270
104.198 -1.20171e-07 5.38936e-09 0 270
104.198 -1.39503e-07 5.39999e-09 0 270
104.724 -1.39503e-07 5.39999e-09 0 270
104.724 -1.45933e-07 5.40352e-09 0 270
105.251 -1.45933e-07 5.40352e-09 0 270
105.251 -1.39503e-07 5.39999e-09 0 270
105.778 -1.39503e-07 5.39999e-09 0 270
105.778 -1.20171e-07 5.38936e-09 0 270
106.304 -1.20171e-07 5.38936e-09 0 270
106.304 -8.78155e-08 5.37158e-09 0 270
106.831 -8.78155e-08 5.37158e-09 0 270
106.831 -4.22758e-08 5.34655e-09 0 270
107.358 -4.22758e-08 5.34655e-09 0 270
107.358 1.66023e-08 5.31418e-09 0 270
107.884 1.66023e-08 5.31418e-09 0 270
107.884 8.89002e-08 5.27445e-09 0 270
108.411 8.89002e-08 5.27445e-09 0 270
108.411 1.74556e-07 5.22737e-09 0 270
108.938 1.74556e-07 5.22737e-09 0 270
108.938 2.73292e-07 5.1731e-09 0 270
109.464 2.73292e-07 5.1731e-09 0 270
109.464 3.84559e-07 5.11194e-09 0 270
109.991 3.84559e-07 5.11194e-09 0 270
109.991 5.0748e-07 5.04438e-09 0 270
110.517 5.0748e-07 5.04438e-09 0 270
110.517 6.40836e-07 4.97108e-09 0 270
111.044 6.40836e-07 4.97108e-09 0 270
111.044 7.83059e-07 4.89291e-09 0 270
111.571 7.83059e-07 4.89291e-09 0 270
111.571 9.32264e-07 4.8109e-09 0 270
112.097 9.32264e-07 4.8109e-09 0 270
112.097 1.0863e-06 4.72623e-09 0 270
112.624 1.0863e-06 4.72623e-09 0 270
112.624 1.2036e-06 4.66176e-09 0 270
112.887 1.2036e-06 4.66176e-09 0 270
112.887 1.31218e-06 4.60208e-09 0 270
113.354 1.31218e-06 4.60208e-09 0 270
113.354 1.51907e-06 4.48837e-09 0 270
114.289 1.51907e-06 4.48837e-09 0 270
114.289 1.78259e-06 4.34353e-09 0 270
115.223 1.78259e-06 4.34353e-09 0 270
115.223 2.0219e-06 4.21199e-09 0 270
116.157 2.0219e-06 4.21199e-09 0 270
116.157 2.22899e-06 4.09817e-09 0 270
117.092 2.22899e-06 4.09817e-09 0 270
117.092 2.39976e-06 4.00431e-09 0 270
118.026 2.39976e-06 4.00431e-09 0 270
118.026 2.53395e-06 3.93055e-09 0 270
118.96 2.53395e-06 3.93055e-09 0 270
118.96 2.63445e-06 3.87531e-09 0 270
119.895 2.63445e-06 3.87531e-09 0 270
119.895 2.70616e-06 3.8359e-09 0 270
120.829 2.70616e-06 3.8359e-09 0 270
120.829 2.75492e-06 3.8091e-09 0 270
121.763 2.75492e-06 3.8091e-09 0 270
121.763 2.78651e-06 3.79174e-09 0 270
122.697 2.78651e-06 3.79174e-09 0 270
122.697 2.80599e-06 3.78103e-09 0 270
123.632 2.80599e-06 3.78103e-09 0 270
123.632 2.8174e-06 3.77475e-09 0 270
124.566 2.8174e-06 3.77475e-09 0 270
124.566 2.82367e-06 3.77131e-09 0 270
125.5 2.82367e-06 3.77131e-09 0 270
125.5 2.82672e-06 3.76963e-09 0 270
126.435 2.82672e-06 3.76963e-09 0 270
126.435 2.82762e-06 3.76914e-09 0 270
127.369 2.82762e-06 3.76914e-09 0 270
127.369 2.82672e-06 3.76963e-09 0 270
128.303 2.82672e-06 3.76963e-09 0 270
128.303 2.82367e-06 3.77131e-09 0 270
129.238 2.82367e-06 3.77131e-09 0 270
129.238 2.8174e-06 3.77475e-09 0 270
130.172 2.8174e-06 3.77475e-09 0 270
130.172 2.80599e-06 3.78103e-09 0 270
131.106 2.80599e-06 3.78103e-09 0 270
131.106 2.78651e-06 3.79174e-09 0 270
132.04 2.78651e-06 3.79174e-09 0 270
132.04 2.75492e-06 3.8091e-09 0 270
132.975 2.75492e-06 3.8091e-09 0 270
132.975 2.70616e-06 3.8359e-09 0 270
133.909 2.70616e-06 3.8359e-09 0 270
133.909 2.63445e-06 3.87531e-09 0 270
134.843 2.63445e-06 3.87531e-09 0 270
134.843 2.53395e-06 3.93055e-09 0 270
135.778 2.53395e-06 3.93055e-09 0 270
135.778 2.39976e-06 4.00431e-09 0 270
136.712 2.39976e-06 4.00431e-09 0 270
136.712 2.22899e-06 4.09817e-09 0 270
137.646 2.22899e-06 4.09817e-09 0 270
137.646 2.0219e-06 4.21199e-09 0 270
138.581 2.0219e-06 4.21199e-09 0 270
138.581 1.78259e-06 4.34353e-09 0 270
139.515 1.78259e-06 4.34353e-09 0 270
139.515 1.51907e-06 4.48837e-09 0 270
140.449 1.51907e-06 4.48837e-09 0 270
140.449 1.31218e-06 4.60208e-09 0 270
140.916 1.31218e-06 4.60208e-09 0 270
140.916 1.2036e-06 4.66176e-09 0 270
141.18 1.2036e-06 4.66176e-09 0 270
141.18 1.0863e-06 4.72623e-09 0 270
141.706 1.0863e-06 4.72623e-09 0 270
141.706 9.32264e-07 4.8109e-09 0 270
142.233 9.32264e-07 4.8109e-09 0 270
142.233 7.83059e-07 4.89291e-09 0 270
142.76 7.83059e-07 4.89291e-09 0 270
142.76 6.40836e-07 4.97108e-09 0 270
